T_or_V,label,Chamber_temp,voltage_mV,power_mean,power_SD,power_iqr,power_skew,power_kurtosis,x_mean,x_SD,x_IQR,x_skew,x_kurtosis,y_mean,y_SD,y_IQR,y_skew,y_kurtosis,z_mean,z_SD,z_IQR,z_skew,z_kurtosis,board_temp_mean,board_temp_SD,board_temp_iqr,board_temp_skew,board_temp_kurtosis
T,1,30,2100,0.0579566515212,0.025829437988,0.05371775,0.4520502726722134,-1.5336990827109627,-0.141600648743,3.60636310663,4.63414634146,0.22623837631428087,0.27775059470933927,-0.0642505146279,3.39217883157,4.32926829268,0.04780430851775951,-0.20830958955076007,0.24327864762,4.39776622937,6.09756097561,0.06846244419048508,0.11556252423749003,nan,nan,nan,nan,nan
T,1,30,2100,0.0580328472319,0.0258155493899,0.05514629,0.45258592219963256,-1.537255984023228,-0.272908739318,3.80128675327,5.0,0.2138356808962421,-0.021026145329573254,0.0318133616119,3.45084147668,4.75609756098,0.10312317731736502,-0.001195786362361062,0.0913854407086,4.31427876164,5.18292682927,0.15392934921014675,0.0766123823610596,nan,nan,nan,nan,nan
T,1,30,2100,0.0579307693516,0.025769529716,0.05394159,0.45863926397904664,-1.525149778174822,-0.076726342711,3.88722994769,5.36585365854,0.23035806676292755,-0.17725646085808267,-0.0261992389745,3.59284352075,4.81707317073,-0.025522312688785197,-0.05670227688611096,-0.0106044538706,4.56285111617,5.79268292683,0.09140854311111295,0.026821728724053084,nan,nan,nan,nan,nan
T,1,30,2100,0.057974956409,0.0257320910921,0.05425961,0.46011957568080786,-1.5227086089345991,-0.0891181988743,3.56407514348,4.75609756098,-0.07337896917243798,-0.0018101714932496904,0.052220137586,3.9460773919,5.7012195122,0.13132464442286937,-0.1448971569900399,0.0312695434647,4.30845200708,5.82317073171,0.027445525838163027,-0.3698683660546429,nan,nan,nan,nan,nan
T,1,30,2100,0.056784361596,0.0258479978802,0.05440694,0.445873351522627,-1.5392090117926156,0.336395312005,3.68065605067,4.87804878049,-0.17918226752313401,-0.0856600833247736,0.111815014254,3.34498022056,4.63414634146,-0.32569216955357927,0.18083706811205458,-0.121000950269,4.37794787001,5.85365853659,-0.021381459947125175,-0.140128792361359,nan,nan,nan,nan,nan
T,1,30,2100,0.0566996504489,0.0258383437573,0.05442309,0.44765201408712924,-1.5373315190669992,-0.0248944349909,3.87616054426,4.87804878049,-0.05284155626150551,0.22131644218886004,-0.126678010966,3.56672695944,4.57317073171,0.06096714406970464,0.1361898205550669,0.32236717716,4.5287205147,6.28048780488,-0.08388816753791972,0.014803202075220234,nan,nan,nan,nan,nan
T,1,30,2100,0.0567062475062,0.0258472449052,0.05323651,0.4539967430246544,-1.5353299726403529,-0.00850822461713,3.75312646855,4.93902439024,-0.08252492905067461,0.7828615673589772,0.0428562425159,3.65735052894,4.81707317073,-0.1271931200407552,0.02479970776828111,-0.350097687023,4.21591602452,5.73170731707,-0.037469204693943825,-0.3524251974933277,nan,nan,nan,nan,nan
T,1,30,2100,0.056696227182,0.0258911251886,0.05430931,0.4486021978839077,-1.5390614951728767,-0.0383631713555,3.84934953337,5.24390243902,0.08465197638788585,-0.3499732075395121,0.268854095191,3.62214256149,4.63414634146,0.05514951865950549,0.3597130253605747,0.00748549684985,4.2598878496,5.73170731707,-0.04574508995601186,-0.22217586332312989,nan,nan,nan,nan,nan
T,1,30,2100,0.0567546581047,0.025827256415,0.05383755,0.45040528731456264,-1.5370578625876665,-0.218886804253,3.80289306627,4.63414634146,-0.04234559526815357,0.5213940135890014,-0.136960600375,3.74327593801,5.24390243902,0.007109984318895901,-0.30475517708096156,-0.0375234521576,4.22432043264,6.06707317073,-0.01479171699819429,-0.18899361378465596,nan,nan,nan,nan,nan
T,2,18,2100,0.0566465914214,0.0264128783952,0.05511403,0.5179364637991885,-1.4993644231174699,-0.0275312960236,0.00424087601746,0.00618556701031,-0.060687986006599394,-0.3715907666995748,0.0245949926362,0.00435542785342,0.00618556701031,0.0027305910695359097,-0.37587029464108923,1.0102479136,0.00507137260894,0.00618556701031,0.2125141936572619,0.018228312924594814,16.8125,0.248132908894,0.5,-0.6620440843720812,-1.196538914394721
